Name	Type	Structure	Donor	Clonal lineage	Isolation paper(Pubmed ID)	Neutralizing antibody feature	Light chain type	# of viruses tested
CH235	gp120 CD4BS	EMD-8083(B41 SOSIP.664 trimer in complex with CH235 Fab);EMD-8082(BG505 SOSIP.664 in complex with CH235 Fab);5F9W(CH235 in complex with HIV-1 clade AE 93TH057 gp120)	Donor CH505	CH235	Gao2014(25065977) 	Antibody-driven selection in donor CH505;CH103 and CH235 evolution	K	202
CH235.12	gp120 CD4BS	EMD-8079(B41 SOSIP.664 trimer in complex with CH235.12 Fab);EMD-8078(BG505 SOSIP.664 trimer in complex with CH235.12 Fab);5F96(CH235.12 in complex with HIV-1 clade AE 93TH057 gp120)	Donor CH505	CH235	Bonsignori2016(26949186) 	Antibody-driven selection in donor CH505;Electrostatic interactions with D368	K	200
CH235.9	gp120 CD4BS	EMD-8080(B41 SOSIP.664 trimer in complex with CH235.9 Fab);EMD-8081(BG505 SOSIP.664 trimer in complex with CH235.9 Fab);5F9O(CH235.09 in complex with HIV-1 clade AE 93TH057 gp120)	Donor CH505	CH235	Bonsignori2016(26949186) 	Antibody-driven selection in donor CH505;Electrostatic interactions with D368	K	199
CH27	gp120 CD4BS		CH0457	CH27	Moody2015(26355218) 			52
CH28	gp120 CD4BS		CH0457	CH27	Moody2015(26355218) 	Mutation decreases binding to CD4BS mAbs		48
CH44	gp120 CD4BS		CH0457	CH27	Moody2015(26355218) 			48
CH45	gp120 CD4BS		CH0457	CH13	Moody2015(26355218) 			48
CH46	gp120 CD4BS		CH0457	CH13	Moody2015(26355218) 			0
CH48	gp120 V3 // V3 glycan (V3g)		CH0457		Moody2015(26355218) 			52
CH98	gp120 CD4BS		CH5329		Bonsignori2014(24614107) 	Mutation decreases binding to CD4BS mAbs	L	42
D7	gp120 CD4BS				Forsman2008(18842738) 			63
DH270.1	gp120 V3 // V3 glycan (V3g)	5U0U(DH270.1 (unliganded, single-chain Fv))	CH848	DH270	Bonsignori2017(28298420) 		L	210
DH270.2	gp120 V3 // V3 glycan (V3g)		CH848	DH270	Bonsignori2017(28298420) 		L	27
DH270.3	gp120 V3 // V3 glycan (V3g)	5TPL(DH270.3 (unliganded))	CH848	DH270	Bonsignori2017(28298420) 		L	27
DH270.4	gp120 V3 // V3 glycan (V3g)		CH848	DH270	Bonsignori2017(28298420) 		L	27
DH270.5	gp120 V3 // V3 glycan (V3g)	5TPP(DH270.5 (unliganded))	CH848	DH270	Bonsignori2017(28298420) 		L	210
DH270.6		5TQA(DH270.6 (unliganded))		DH270			L	210
DH270.IA1	gp120 V3 // V3 glycan (V3g)		CH848	DH270	Bonsignori2017(28298420) 		L	27
DH270.IA2	gp120 V3 // V3 glycan (V3g)		CH848	DH270	Bonsignori2017(28298420) 		L	27
DH270.IA3	gp120 V3 // V3 glycan (V3g)		CH848	DH270	Bonsignori2017(28298420) 		L	27
DH270.IA4	gp120 V3 // V3 glycan (V3g)		CH848	DH270	Bonsignori2017(28298420) 		L	27
DH511.1	gp41 MPER (membrane proximal external region)	5U3J(DH511.1 Fab in Complex with HIV-1 gp41 MPER Peptide)	CH0210	DH511	Williams2017(28783671) 		K	41
DH511.11P	gp41 MPER (membrane proximal external region)	5U3M(DH511.11P Fab in Complex with HIV-1 gp41 MPER Peptide)	CH0210	DH511	Williams2017(28783671) 		K	210
DH511.12P	gp41 MPER (membrane proximal external region)	5U3N(DH511.12P Fab in Complex with HIV-1 gp41 MPER Peptide)	CH0210	DH511	Williams2017(28783671) 		K	210
DH511.2	gp41 MPER (membrane proximal external region)	5U3K(DH511.2 Fab in Complex with HIV-1 gp41 MPER 662-683 Peptide);5U3L(DH511.2 Fab in Complex with HIV-1 gp41 MPER 670-683 Peptide)	CH0210	DH511	Williams2017(28783671) 	DH511.2 and DH511.2_K3 contacts	K	382
DH511.2_K3	gp41 MPER (membrane proximal external region)	5U3O(DH511.2_K3 Fab in Complex with HIV-1 gp41 MPER Peptide)	CH0210	DH511	Williams2017(28783671) 	DH511.2 and DH511.2_K3 contacts	K	298
DH511.3	gp41 MPER (membrane proximal external region)		CH0210	DH511	Williams2017(28783671) 		K	41
DH511.4	gp41 MPER (membrane proximal external region)	5U3P(DH511.4 Fab)	CH0210	DH511	Williams2017(28783671) 		K	41
DH511.5	gp41 MPER (membrane proximal external region)		CH0210	DH511	Williams2017(28783671) 		K	41
DH511.6	gp41 MPER (membrane proximal external region)		CH0210	DH511	Williams2017(28783671) 		K	41
DH517	gp41 MPER (membrane proximal external region)		CH0210		Williams2017(28783671) 		L	30
DH563	gp120 V3 // V3 glycan (V3g)		CH765	VRC41	Alam2017(28298421) 	Mutation affects neutralization of V3 mAbs	K	30
DRVIA7	gp120 CD4BS	5CD3(Immature VRC01-class antibody DRVIA7);5CD5(Immature VRC01-class antibody DRVIA7 bound to clade A/E HIV-1 gp120 core)	DRVI01		Kong2016(27067056) 			24
F105	gp120 CD4BS	1U6A(Fab F105);3HI1(gp120 (core with V3) complex with F105)			Posner1991(1710248) 			214
gVRC-H1dC38-VRC01L	gp120 CD4BS		C38,NIH45		Zhu2013a(24106303) 			153
HGN194	gp120 V3 // V3 glycan (V3g)		VI3265		Corti2010(20098712) 			93
HJ16	gp120 CD4BS	4YE4(Neutralizing Antibody HJ16 in Complex with HIV-1 gp120)	VI3208		Corti2010(20098712) 	HJ16 binding requires N276;HJ16 contacts;Mutation decreases binding to CD4BS mAbs	K	301
HK20	gp41 NHR (N-heptad repeat)	2XRA(HK20 Fab in complex with a gp41 mimetic 5-Helix)	VI3081		Corti2010(20098712) 			93
iMab		3O2D(CD4 in complex with a potent antiviral antibody)						151
IOMA	gp120 CD4BS	6CHB(A natively-glycosylated BG505 SOSIP.664 HIV-1 Envelope Trimer in complex with the broadly-neutralizing antibodies BG18 and IOMA);5T3X(Fully and Natively Glycosylated BG505 SOSIP.664 HIV-1 Env Trimer in Complex with Antibodies IOMA and 10-1074);5T3Z(Fully and Natively Glycosylated BG505 SOSIP.664 HIV-1 Env Trimer in Complex with Antibodies IOMA and 10-1074)	R1		Gristick2016(27617431) 	IOMA contacts	L	120
J3	gp120 CD4BS				McCoy2012(22641382) 			104
JM2	gp120 CD4BS				Matz2013(23152508) 			20
JM3	gp120-CD4 complex				Matz2013(23152508) 			22
JM4	gp120 CD4BS;gp120 CD4i	4LAJ(JM4 in complex with YU2 gp120 and CD4-mimetic miniprotein M48U1)			Matz2013(23152508) 			65
JM4-IgG2b	gp120 CD4BS;gp120 CD4i				Acharya2013(23843638) 			195
JM4-IgG3	gp120 CD4BS;gp120 CD4i				Acharya2013(23843638) 			30
JM5	gp120-CD4 complex				Matz2013(23152508) 			21
KD-247	gp120 V3 // V3 glycan (V3g)	3NTC(KD-247 Fab)			Eda2006a(16699036) 			43
M36/PRO-140	gp120 C3							107
m66	gp41 MPER (membrane proximal external region)	4NRY(Antibody m66);4NRX(m66 in complex with gp41 MPER peptide)	SC44		Zhu2011(21880764) 		K	170
m66.6	gp41 MPER (membrane proximal external region)	4NRZ(Antibody m66.6)	SC44		Zhu2011(21880764) 		K	170
m66-G30K	gp41 MPER (membrane proximal external region)		SC44		Ofek2014(24335316) 			47
m66-S28H	gp41 MPER (membrane proximal external region)		SC44		Ofek2014(24335316) 			40
m66-S28H-G30K	gp41 MPER (membrane proximal external region)		SC44		Ofek2014(24335316) 			40
m66-S28H-G30K-S31K	gp41 MPER (membrane proximal external region)		SC44		Ofek2014(24335316) 			47
m66-S31K	gp41 MPER (membrane proximal external region)		SC44		Ofek2014(24335316) 			40
m66-Y100eW	gp41 MPER (membrane proximal external region)		SC44		Ofek2014(24335316) 			47
N6	gp120 CD4BS	5TE5(N6 in Complex with HIV-1 Clade AE Strain 93TH057 gp120 Core);5TE6(N6 in Complex with HIV-1 Clade C Strain DU172.17 gp120 Core);5TE4(N6 in Complex with HIV-1 Clade G Strain X2088 gp120 Core)	Z258		Huang2016a(27851912) 	N6 alanine scanning;N6 contacts	K	407
N6/10E8v4-PGDM1400	gp120 CD4BS;gp120 V2 // V2 glycan(V2g) // V2 apex;gp41 MPER (membrane proximal external region)				Xu2017(28931639) 			208
N6/PGDM1400-10E8v4	gp120 CD4BS;gp120 V2 // V2 glycan(V2g) // V2 apex;gp41 MPER (membrane proximal external region)				Xu2017(28931639) 			208
NC37	quaternary structure		EB354		Freund2017(28100831) 		K	119
NIH45-46	gp120 CD4BS	4JDT(chimeric germ-line precursor of NIH45-46 Fab in complex with gp120 (93TH057));3U7W(Fab NIH45-46);3U7Y(Fab NIH45-46 complexed with gp120);4JDV(germ-line precursor of NIH45-46 Fab);5IGX(NIH45-46 Fab germline precursor in complex with 426c.TM1deltaV1-3 gp120)	NIH45	VRC01 	Scheid2011(21764753) 	NIH45-46 contacts;NIH45-46 signature predictions (West2013)	K	272
NIH45-46G54F	gp120 CD4BS		NIH45	VRC01	Diskin2011(22033520) 			82
NIH45-46G54W	gp120 CD4BS		NIH45	VRC01 	Diskin2011(22033520) 	NIH45-46(G54W) signature predictions (West2013)		177
NIH45-46G54Y	gp120 CD4BS		NIH45	VRC01	Diskin2011(22033520) 			82
NIH45-46WPY	gp120 CD4BS		NIH45	VRC01				118
NIH45-46WY	gp120 CD4BS		NIH45	VRC01				118
PCDN-33A	gp120 V3 // V3 glycan (V3g)		PC76		MacLeod2016(27192579) 	Sites affecting neutralization of PCDN lineage mAbs		133
PCDN-38A	gp120 V3 // V3 glycan (V3g)		PC76		MacLeod2016(27192579) 	Sites affecting neutralization of PCDN lineage mAbs	K	133
PCDN-38B	gp120 V3 // V3 glycan (V3g)		PC76		MacLeod2016(27192579) 	Sites affecting neutralization of PCDN lineage mAbs		133
PCT64-18B	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-18C	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-18D	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	123
PCT64-18F	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-24A	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-24B	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-24E	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	122
PCT64-24F	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	122
PCT64-24G	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-24H	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35B	gp120 V2 // V2 glycan(V2g) // V2 apex	5FEH(PCT64_35B, a broadly neutralizing anti-HIV antibody)	PC64	PCT64	Landais2017(29166592) 		K	122
PCT64-35C	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35D	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	122
PCT64-35E	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35F	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35G	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	122
PCT64-35H	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35I	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35K	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35M	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	123
PCT64-35N	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	37
PCT64-35O	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	122
PCT64-35S	gp120 V2 // V2 glycan(V2g) // V2 apex		PC64	PCT64	Landais2017(29166592) 		K	123
PG16	gp120 V2 // V2 glycan(V2g) // V2 apex	4DQO(Fab PG16 complexed with V1V2 region (ZM109));3MUG(PG16 Fab);3MME(Structure and functional dissection of PG16);3LRS(Structure of PG16)	Donor 24	PG9	Walker2009a(19729618) 	Mutation affects neutralization;Mutation affects PG9-like Ab sensitivity;PG16 signature predictions (West2013);PG9-like antibodies require N160 for neutralization;PG9-like contacts	L	585
PG16/10-1074	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g)		Donor 17,Donor 24		Bournazos2016(27315478) 			33
PG16-iMab	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 24		Pace2013a(23878231) 			134
PG16/PGT121	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g)		Donor 17,Donor 24		Bournazos2016(27315478) 			116
PG16/PGT128	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g)		Donor 24,Donor 36		Bournazos2016(27315478) 			117
PG9	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	3U36(Fab PG9  );3U4E(Fab PG9 complexed with V1V2 region (CAP45));3U2S(Fab PG9 complexed with V1V2 region (ZM109));3MUH(PG9 light chain)	Donor 24	PG9	Walker2009a(19729618) 	Mutation affects neutralization;Mutation affects neutralization by V1V2 glycan mAbs;Mutation affects PG9-like Ab sensitivity;PG9 escape mutations;PG9-like antibodies require N160 for neutralization;PG9-like contacts;PG9 residue prediction;PG9 signature predictions (West2013)	L	752
PG9-iMab	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 24		Pace2013a(23878231) 			134
PG9-PG16-RSH	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 24	PG9	Pancera2013(23708607) 		L	212
PGC14			Donor 24		Walker2009a(19729618) 		L	162
PGDM11	gp120 V3 // V3 glycan (V3g)		Donor 14		Sok2016(27438765) 			110
PGDM12	gp120 V3 // V3 glycan (V3g)		Donor 14		Sok2016(27438765) 			134
PGDM1400	gp120 V2 // V2 glycan(V2g) // V2 apex	4RQQ(Fab PGDM1400)	Donor 84		Sok2014(25422458) 	PGDM1400 lineage requires N160	K	444
PGDM1400/PRO-140	gp120 V2 // V2 glycan(V2g) // V2 apex							107
PGDM1401	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 84		Sok2014(25422458) 	PGDM1400 lineage requires N160	K	107
PGDM1402	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 84		Sok2014(25422458) 	PGDM1400 lineage requires N160	K	102
PGDM1403	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 84		Sok2014(25422458) 	PGDM1400 lineage requires N160	K	98
PGDM1404	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 84		Sok2014(25422458) 	PGDM1400 lineage requires N160	K	88
PGDM1405	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 84		Sok2014(25422458) 	PGDM1400 lineage requires N160	K	98
PGDM1406	gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 84		Sok2014(25422458) 	PGDM1400 lineage requires N160	K	88
PGDM21	gp120 V3 // V3 glycan (V3g)	EMD-8182(PGDM21 in complex with BG505 SOSIP.664 trimer)	Donor 82		Sok2016(27438765) 			134
PGG14			Donor 24		Walker2009a(19729618) 		L	0
PGT121	gp120 V3 // V3 glycan (V3g)	4JY4(Fab PGT121);4FQQ(germline antibody PGT121-GL Fab);4FQ1(PGT121 Fab);4FQC(PGT121 Fab bound to a complex-type sialylated N-glycan)	Donor 17	PGT121	Walker2011(21849977) 	Key sites for PGT121-like and 10-1074-like mAbs;Mutation affects neutralization of V3 mAbs;Mutation greatly reduces PGT121 neutralization;PGT121-123, 125-128, 130, 131 sites important for neutralization;PGT121 family and N137 glycan;PGT121 signature predictions (West2013)	L	675
PGT121GM	gp120 V3 // V3 glycan (V3g)		Donor 17		Mouquet2012a(23115339) 			26
PGT122	gp120 V3 // V3 glycan (V3g)	4NCO(BG505 in complex with Fab PGT122);5I8H(BG505 SOSIP.664 Prefusion Env Trimer in Complex with PGT122 Fab and VRC34.01 Fab);5FYL(Clade A BG505 SOSIP.664 Prefusion Env Trimer in Complex with PGT122 and 35O22);5FYJ(Clade G X1193.c1 SOSIP.664 Prefusion Env Trimer in Complex with PGT122, 35O22 and VRC01);4TVP(Env Trimer Ectodomain in Complex with Antibodies PGT122 and 35O22);4JY5(Fab PGT122);5FYK(SOSIP.664 Prefusion Env Trimer in Complex with PGT122, 35O22 and VRC01)	Donor 17	PGT121	Walker2011(21849977) 	PGT121-123, 125-128, 130, 131 sites important for neutralization;PGT121 family and N137 glycan;PGT122 contacts;PGT122 neutralization	L	164
PGT123	gp120 V3 // V3 glycan (V3g)	4JY6(Fab PGT123)	Donor 17	PGT121	Walker2011(21849977) 	Mutation greatly reduces PGT123 neutralization;PGT121-123, 125-128, 130, 131 sites important for neutralization;PGT121 family and N137 glycan	L	290
PGT124	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Walker2011(21849977) 	PGT121 family and N137 glycan	L	86
PGT125	gp120 V3 // V3 glycan (V3g)		Donor 36	PGT128	Walker2011(21849977) 	Mutation greatly reduces PGT125 neutralization;PGT121-123, 125-128, 130, 131 sites important for neutralization	L	273
PGT126	gp120 V3 // V3 glycan (V3g)		Donor 36	PGT128	Walker2011(21849977) 	Mutation greatly reduces PGT126 and PGT127 neutralization;PGT121-123, 125-128, 130, 131 sites important for neutralization	L	303
PGT127	gp120 V3 // V3 glycan (V3g)	3TWC(PGT127 complexed with Man(9))	Donor 36	PGT128	Walker2011(21849977) 	Mutation greatly reduces PGT126 and PGT127 neutralization;PGT121-123, 125-128, 130, 131 sites important for neutralization;PGT127, PGT128 contacts	L	272
PGT128	gp120 V3 // V3 glycan (V3g)	5C7K(BG505 SOSIP gp140 HIV-1 Env trimer bound to broadly neutralizing antibodies PGT128 and 8ANC195);3TYG(PGT128 complexed with glycosylated gp120);3TV3(PGT128 complexed with Man(9));5ACO(PGT128 Fab in complex with BG505 SOSIP.664 Env trimer)	Donor 36	PGT128	Walker2011(21849977) 	Mutation affects neutralization of V3 mAbs;Mutation greatly reduces PGT128 neutralization;PGT121-123, 125-128, 130, 131 sites important for neutralization;PGT127, PGT128 contacts;PGT128 contacts	L	656
PGT128-IgG3C	gp120 V3 // V3 glycan (V3g)		Donor 36		Bournazos2016(27315478) 			116
PGT130	gp120 V3 // V3 glycan (V3g)		Donor 36	PGT128	Walker2011(21849977) 	Mutation greatly reduces PGT130 neutralization;PGT121-123, 125-128, 130, 131 sites important for neutralization	L	308
PGT131	gp120 V3 // V3 glycan (V3g)		Donor 36	PGT128	Walker2011(21849977) 	PGT121-123, 125-128, 130, 131 sites important for neutralization	L	162
PGT135	gp120 V3 // V3 glycan (V3g)	4JM4(Fab PGT135);4JM2(PGT 135 Fab in complex with gp120 core (JR-FL) bound to CD4 and 17b Fab)	Donor 39	PGT135	Walker2011(21849977) 	Mutation greatly reduces PGT135 neutralization;PGT135 contacts and sites	K	369
PGT135-IgG3C	gp120 V3 // V3 glycan (V3g)		Donor 39		Bournazos2016(27315478) 			119
PGT136	gp120 V3 // V3 glycan (V3g)		Donor 39	PGT135	Walker2011(21849977) 		K	164
PGT137	gp120 V3 // V3 glycan (V3g)		Donor 39	PGT135	Walker2011(21849977) 		K	162
PGT141	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		Donor 84	PGT145	Walker2011(21849977) 	Mutation affects PG9-like Ab sensitivity;PG9-like contacts	K	186
PGT142	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		Donor 84	PGT145	Walker2011(21849977) 		K	344
PGT143	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		Donor 84	PGT145	Walker2011(21849977) 	Mutation greatly reduces PGT143 neutralization	K	274
PGT144	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		Donor 84	PGT145	Walker2011(21849977) 		K	162
PGT145	gp120 V2 // V2 glycan(V2g) // V2 apex	3U1S(Fab PGT145)	Donor 84	PGT145	Walker2011(21849977) 	Mutation affects neutralization by V1V2 glycan mAbs;Mutation affects PG9-like Ab sensitivity;Mutation greatly reduces PGT145 neutralization;PG9-like antibodies require N160 for neutralization;PG9-like contacts;PGT145 escape mutations	K	636
PGT151	fusion peptide // near gp41-gp120 interface	4NUG(Antibody PGT151)	Donor 31		Falkowska2014(24768347) 	Mutation affects PG151 neutralization;PGT151-PGT158 sites of interaction;Sites affecting neutralization of PGT151	K	261
PGT151/10-1074-IgG3C	fusion peptide // near gp41-gp120 interface;gp120 V3 // V3 glycan (V3g)		Donor 17,Donor 31		Bournazos2016(27315478) 			119
PGT151/35O22	fusion peptide // near gp41-gp120 interface;gp41-gp120 interface		Donor 31,Donor N152		Bournazos2016(27315478) 			120
PGT151-IgG3C	fusion peptide // near gp41-gp120 interface		Donor 31		Bournazos2016(27315478) 			119
PGT152	fusion peptide // near gp41-gp120 interface	4NUJ(Antibody PGT152)	Donor 31		Falkowska2014(24768347) 	PGT151-PGT158 sites of interaction	K	116
PGT153	gp41		Donor 31		Falkowska2014(24768347) 	PGT151-PGT158 sites of interaction	K	25
PGT154	gp41		Donor 31		Falkowska2014(24768347) 	PGT151-PGT158 sites of interaction	K	25
PGT155	gp41		Donor 31		Falkowska2014(24768347) 	PGT151-PGT158 sites of interaction	K	25
PGT156	gp41		Donor 31		Falkowska2014(24768347) 	PGT151-PGT158 sites of interaction	K	25
PGT157	gp41		Donor 31		Falkowska2014(24768347) 	PGT151-PGT158 sites of interaction	K	25
PGT158	gp41		Donor 31		Falkowska2014(24768347) 	PGT151-PGT158 sites of interaction	K	25
polyclonal BF520	gp120 V3 // V3 glycan (V3g)		BF520		Simonich2016(27345369) 			34
polyclonal CAP206	gp41 MPER (membrane proximal external region)		CAP206					34
polyclonal CAP256 Year1			CAP256		Moore2011(21270156) 			31
polyclonal CAP256 Year2			CAP256		Moore2011(21270156) 			31
polyclonal CAP256 Year3			CAP256		Moore2011(21270156) 			31
polyclonal CAP256 Year4			CAP256		Moore2011(21270156) 			31
polyclonal CH0457 wk8			CH0457		Moody2015(26355218) 			47
polyclonal CH0457 wk96			CH0457		Moody2015(26355218) 			39
polyclonal Donor 17			Donor 17		Walker2011(21849977) 			162
polyclonal Donor 24			Donor 24		Walker2009a(19729618) 			162
polyclonal Donor 31			Donor 31					25
polyclonal Donor 36			Donor 36		Walker2011(21849977) 			162
polyclonal Donor 39			Donor 39		Walker2011(21849977) 			162
polyclonal Donor 84			Donor 84		Walker2011(21849977) 			162
polyclonal N152			Donor N152		Huang2012(22192629) 			177
polyclonal NIH45			NIH45					139
polyclonal Patient 1			Patient 1					21
polyclonal Patient 12			Patient 12					6
polyclonal Patient 3			Patient 3					21
polyclonal Patient 8			Patient 8					21
polyclonal PC64-M35			PC64		Landais2017(29166592) 			123
polyclonal QA013	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		QA013		Williams2018(29669274) 			33
PRO-140/PGDM1400/PGT121	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g)							105
QA013.19	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		QA013		Williams2018(29669274) 		L	19
QA013.2	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		QA013		Williams2018(29669274) 		L	33
QA013.3	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		QA013		Williams2018(29669274) 		L	19
QA013.32	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		QA013		Williams2018(29669274) 		L	19
QA013.4	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		QA013		Williams2018(29669274) 		L	19
QA013.53	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		QA013		Williams2018(29669274) 		L	18
RoAb13/PGDM1400/PGT121	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g)							107
sCD4		1CDJ(glycoprotein CD4);1GC1(gp120 core complexed with CD4 and 17b);1G9M(gp120 (HXB2) complexed with CD4 and 17b);1RZJ(gp120 (HXB2) complexed with CD4 and 17b);2NY5(gp120 (M95W, W96C, I109C, T257S, V275C, S334A, S375W, Q428C, A433M) complexed with CD4 and 17b);2NY0(gp120 (M95W, W96C, T257S, V275C, S334A, S375W, A433M) complexed with CD4 and 17b);2NXY(gp120 (S334A) complexed with CD4 and 17b);1RZK(gp120 (YU2) complexed with CD4 and 17b);1G9N(gp120 (YU2) complexed with CD4 and 17b)						440
Tri-NAb	gp120 CD4BS;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)		Donor 17,Donor N152,NIH45		Steinhardt2018(29491415) 			208
vFP1.01	gp41 fusion domain	5TKJ(vFP1.01 in complex with HIV-1 fusion peptide residue 512-519)	1868		Xu2018(29867235) 	Mutation reduces binding, reduces neutralization, or confers escape from fusion peptide directed Mabs		208
vFP16.02	gp41 fusion domain	6CDO(vFP16.02 in complex with HIV-1 fusion peptide residue 512-519)	2712		Xu2018(29867235) 	Mutation reduces binding, reduces neutralization, or confers escape from fusion peptide directed Mabs		208
vFP20.01	gp41 fusion domain	6CDP(vFP20.01 in complex with HIV-1 fusion peptide residue 512-519)	2716		Xu2018(29867235) 	Mutation reduces binding, reduces neutralization, or confers escape from fusion peptide directed Mabs		208
vFP5.01	gp41 fusion domain	5TKK(vFP5.01 in complex with HIV-1 fusion peptide residue 512-519)	1868		Xu2018(29867235) 	Mutation reduces binding, reduces neutralization, or confers escape from fusion peptide directed Mabs		208
vFP7.04	gp41 fusion domain	6CDM(vFP7.04 in complex with HIV-1 fusion peptide residue 512-519)	2586		Xu2018(29867235) 	Mutation reduces binding, reduces neutralization, or confers escape from fusion peptide directed Mabs		208
vFP7.05	gp41 fusion domain		2586		Xu2018(29867235) 	Mutation reduces binding, reduces neutralization, or confers escape from fusion peptide directed Mabs		208
VRC01	gp120 CD4BS	5FYJ(Clade G X1193.c1 SOSIP.664 Prefusion Env Trimer in Complex with PGT122, 35O22 and VRC01);4JPI(Fab VRC01 germline precursor);5FYK(SOSIP.664 Prefusion Env Trimer in Complex with PGT122, 35O22 and VRC01);3NGB(VRC01 complexed with gp120);4LSS(VRC01 complexed with gp120 (KER2008));4LST(VRC01 complexed with gp120 (ZM176));4JPK(VRC01 germline precursor Fab complexed with gp120 outer domain)	NIH45	VRC01 	Wu2010(20616233) 	Electrostatic interactions with D368;Mutation affects neutralization;Mutation affects PGV04, b12, VRC01, CD4-IgG neutralization;Mutation decreases binding to CD4BS mAbs;Sequence changes after immunotherapy with VRC01;VRC01 alanine scanning;VRC01 contacts;VRC01 residue prediction;VRC01 signature predictions (West2013)	K	856
VRC01-0fH/0fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01-30fH/10fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01-30fH/19fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01-5fH/0fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01-5fH/10fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01-5fH/6fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
